eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.2506470680236816,0.0317,126.351,31.588,2.0,4,,,,,,-1.4999999999999987,46
,,,,2.0,4,1.3346,29.972,2.997,5314938979440.0,5.500385284423828,-1.4999999999999987,46
2.2505125999450684,0.0469,85.313,21.328,1.0,2,,,,,,-1.5999999999999988,47
2.2505555152893066,0.0317,126.012,31.503,2.0,4,,,,,,-1.5999999999999988,47
,,,,2.0,4,1.3831,28.92,2.892,5314938979440.0,5.495761394500732,-1.5999999999999988,47
2.2504310607910156,0.0313,127.992,31.998,1.0,2,,,,,,-1.6999999999999988,48
2.250446081161499,0.0318,125.79,31.447,2.0,4,,,,,,-1.6999999999999988,48
,,,,2.0,4,1.3438,29.766,2.977,5314938979440.0,5.4878950119018555,-1.6999999999999988,48
2.250344753265381,0.0329,121.651,30.413,1.0,2,,,,,,-1.799999999999999,49
2.250359296798706,0.0313,127.949,31.987,2.0,4,,,,,,-1.799999999999999,49
,,,,2.0,4,1.3528,29.569,2.957,5314938979440.0,5.482819557189941,-1.799999999999999,49
2.2501492500305176,0.0328,121.773,30.443,1.0,2,,,,,,-1.899999999999999,50
2.250277519226074,0.0473,84.617,21.154,2.0,4,,,,,,-1.899999999999999,50
,,,,2.0,4,1.3634,29.339,2.934,5314938979440.0,5.473179817199707,-1.899999999999999,50
2.250088930130005,0.0469,85.283,21.321,1.0,2,,,,,,-1.9999999999999991,51
2.2501087188720703,0.0313,127.951,31.988,2.0,4,,,,,,-1.9999999999999991,51
,,,,2.0,4,1.3334,29.998,3.0,5314938979440.0,5.466758728027344,-1.9999999999999991,51
2.249912977218628,0.0345,115.936,28.984,1.0,2,,,,,,-2.099999999999999,52
2.2499277591705322,0.0316,126.497,31.624,2.0,4,,,,,,-2.099999999999999,52
,,,,2.0,4,1.3503,29.623,2.962,5314938979440.0,5.455783367156982,-2.099999999999999,52
2.249845504760742,0.0331,120.674,30.169,1.0,2,,,,,,-2.1999999999999993,53
2.2498271465301514,0.0469,85.326,21.332,2.0,4,,,,,,-2.1999999999999993,53
,,,,2.0,4,1.3297,30.083,3.008,5314938979440.0,5.450560569763184,-2.1999999999999993,53
2.249756336212158,0.0316,126.562,31.641,1.0,2,,,,,,-2.2999999999999994,54
2.249741554260254,0.0318,125.741,31.435,2.0,4,,,,,,-2.2999999999999994,54
,,,,2.0,4,1.3419,29.809,2.981,5314938979440.0,5.439733982086182,-2.2999999999999994,54
2.249559164047241,0.0313,127.965,31.991,1.0,2,,,,,,-2.3999999999999995,55
2.2495055198669434,0.0312,128.057,32.014,2.0,4,,,,,,-2.3999999999999995,55
