eval_loss,eval_runtime,eval_samples_per_second,eval_steps_per_second,epoch,step,train_runtime,train_samples_per_second,train_steps_per_second,total_flos,train_loss,theta,model_id
2.2019872665405273,0.0316,31.637,31.637,1.0,5,,,,,,2.6645352591003757e-15,31
2.202119827270508,0.0313,31.989,31.989,2.0,10,,,,,,2.6645352591003757e-15,31
,,,,2.0,10,3.4865,11.473,2.868,15610061202432.0,8.915983581542969,2.6645352591003757e-15,31
2.2026658058166504,0.0313,31.99,31.99,1.0,5,,,,,,-0.09999999999999742,32
2.2028064727783203,0.0462,21.622,21.622,2.0,10,,,,,,-0.09999999999999742,32
,,,,2.0,10,3.479,11.497,2.874,15610061202432.0,8.916533660888671,-0.09999999999999742,32
2.206076145172119,0.049,20.397,20.397,1.0,5,,,,,,-0.1999999999999975,33
2.2063117027282715,0.0469,21.325,21.325,2.0,10,,,,,,-0.1999999999999975,33
,,,,2.0,10,3.468,11.534,2.884,15610061202432.0,8.920700073242188,-0.1999999999999975,33
2.207578420639038,0.0305,32.791,32.791,1.0,5,,,,,,-0.2999999999999976,34
2.2076053619384766,0.0312,32.001,32.001,2.0,10,,,,,,-0.2999999999999976,34
,,,,2.0,10,3.4699,11.528,2.882,15610061202432.0,8.921691131591796,-0.2999999999999976,34
2.210998058319092,0.0469,21.333,21.333,1.0,5,,,,,,-0.3999999999999977,35
2.2114040851593018,0.0313,31.986,31.986,2.0,10,,,,,,-0.3999999999999977,35
,,,,2.0,10,3.4769,11.505,2.876,15610061202432.0,8.924220275878906,-0.3999999999999977,35
2.2119531631469727,0.0324,30.845,30.845,1.0,5,,,,,,-0.4999999999999978,36
2.21195650100708,0.0312,32.008,32.008,2.0,10,,,,,,-0.4999999999999978,36
,,,,2.0,10,3.4462,11.607,2.902,15610061202432.0,8.926513671875,-0.4999999999999978,36
2.215542793273926,0.0317,31.585,31.585,1.0,5,,,,,,-0.5999999999999979,37
2.2158806324005127,0.0469,21.328,21.328,2.0,10,,,,,,-0.5999999999999979,37
,,,,2.0,10,3.4664,11.539,2.885,15610061202432.0,8.928270721435547,-0.5999999999999979,37
2.216470241546631,0.0376,26.594,26.594,1.0,5,,,,,,-0.699999999999998,38
2.2164812088012695,0.0312,32.011,32.011,2.0,10,,,,,,-0.699999999999998,38
,,,,2.0,10,3.4425,11.619,2.905,15610061202432.0,8.930150604248047,-0.699999999999998,38
2.219896078109741,0.0465,21.516,21.516,1.0,5,,,,,,-0.799999999999998,39
2.2202348709106445,0.0317,31.594,31.594,2.0,10,,,,,,-0.799999999999998,39
,,,,2.0,10,3.5265,11.343,2.836,15610061202432.0,8.931256103515626,-0.799999999999998,39
2.2212986946105957,0.0474,21.101,21.101,1.0,5,,,,,,-0.8999999999999981,40
2.221316337585449,0.0312,32.009,32.009,2.0,10,,,,,,-0.8999999999999981,40
,,,,2.0,10,3.4884,11.467,2.867,15610061202432.0,8.933602142333985,-0.8999999999999981,40
2.2241458892822266,0.0469,21.333,21.333,1.0,5,,,,,,-0.9999999999999982,41
2.2242977619171143,0.0313,31.99,31.99,2.0,10,,,,,,-0.9999999999999982,41
,,,,2.0,10,3.4438,11.615,2.904,15610061202432.0,8.933506774902344,-0.9999999999999982,41
